region,layer,status,error_message,row_count,null_geometry_count,invalid_geometry_count,empty_geometry_count,geometry_type_counts,null_pct_by_column,duplicate_geoid_count,expected_row_count,row_count_matches_expected
maricopa-az,census-cbp,ok,,1593,0,0,0,"{""Polygon"": 1593}","{""GEOID"": 0.0, ""STATEFP"": 0.0, ""COUNTYFP"": 0.0, ""TRACTCE"": 0.0, ""cbp_estab"": 0.0, ""cbp_estab_res"": 0.0, ""cbp_estab_bus"": 0.0}",0,,
maricopa-az,census-tiger-roads,ok,,313994,0,0,0,"{""LineString"": 313868, ""MultiLineString"": 126}","{""LINEARID"": 0.0, ""FULLNAME"": 0.36294642572788016, ""RTTYP"": 0.36294642572788016, ""MTFCC"": 0.0}",,,
maricopa-az,hifld-ems-stations,ok,,15,0,0,0,"{""Point"": 15}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.06666666666666667, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.8}",,,
maricopa-az,hifld-fire-stations,ok,,520,0,0,0,"{""Point"": 520}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.12692307692307692}",,,
maricopa-az,hifld-hospitals,ok,,100,0,0,0,"{""Point"": 100}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.19}",,,
maricopa-az,hifld-schools,ok,,1939,0,0,0,"{""Point"": 1939}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0010314595152140279, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.2527075812274368}",,,
maricopa-az,microsoft-buildings,ok,,2610544,0,18,0,"{""Polygon"": 2610544}","{""height"": 0.0, ""confidence"": 0.0}",,,
maricopa-az,overture-buildings,ok,,2908224,0,0,0,"{""Polygon"": 2908061, ""MultiPolygon"": 163}","{""id"": 0.0, ""names"": 0.9894341013622059, ""sources"": 0.0, ""level"": 0.9939371932835985, ""height"": 0.1932664058889549, ""min_height"": 0.9999986245901279, ""is_underground"": 0.0, ""num_floors"": 0.9871048447437336, ""num_floors_underground"": 0.999991059835831, ""min_floor"": 0.9999896844259589, ""subtype"": 0.6212616359675183, ""class"": 0.6265593709425409, ""facade_color"": 0.9999095668009067, ""facade_material"": 0.9997850922074778, ""roof_material"": 0.9962482257212649, ""roof_shape"": 0.9995306413811316, ""roof_direction"": 0.999999656147532, ""roof_orientation"": 0.9999883090160868, ""roof_color"": 0.999719072533615, ""roof_height"": 0.9999972491802557, ""has_parts"": 0.0, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
maricopa-az,overture-pois,ok,,300046,0,0,0,"{""Point"": 300046}","{""id"": 0.0, ""categories"": 0.0491457976443612, ""confidence"": 0.0, ""websites"": 0.15350979516474142, ""emails"": 0.6127560440732421, ""socials"": 0.41839584597028456, ""phones"": 0.09619525006165722, ""brand"": 0.4372596201915706, ""addresses"": 0.0, ""names"": 0.0, ""sources"": 0.0, ""operating_status"": 0.2959946141591623, ""basic_category"": 0.03941395652666591, ""taxonomy"": 0.0491457976443612, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
maricopa-az,overture-roads,ok,,494492,0,0,0,"{""LineString"": 494346, ""MultiLineString"": 146}","{""id"": 0.0, ""names"": 0.09005807980715563, ""subtype"": 0.0, ""class"": 0.0, ""subclass"": 0.9842343253278112, ""subclass_rules"": 0.9842343253278112, ""connectors"": 0.0, ""road_surface"": 0.42762875840256265, ""road_flags"": 0.9683655145078182, ""rail_flags"": 1.0, ""width_rules"": 0.9990879528890255, ""level_rules"": 0.9869846226025901, ""access_restrictions"": 0.731546718652678, ""speed_limits"": 0.47985002790742826, ""prohibited_transitions"": 0.9896378505617887, ""routes"": 0.972668920831884, ""destinations"": 0.9794718620321461, ""sources"": 0.0, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
northern-ca,census-cbp,ok,,591,0,0,0,"{""Polygon"": 591}","{""GEOID"": 0.0, ""STATEFP"": 0.0, ""COUNTYFP"": 0.0, ""TRACTCE"": 0.0, ""cbp_estab"": 0.0, ""cbp_estab_res"": 0.0, ""cbp_estab_bus"": 0.0}",0,,
northern-ca,census-tiger-roads,ok,,156515,0,0,0,"{""LineString"": 156282, ""MultiLineString"": 233}","{""LINEARID"": 0.0, ""FULLNAME"": 0.48565952145161806, ""RTTYP"": 0.48565952145161806, ""MTFCC"": 0.0}",,,
northern-ca,hifld-ems-stations,ok,,30,0,0,0,"{""Point"": 30}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.16666666666666666}",,,
northern-ca,hifld-fire-stations,ok,,561,0,0,0,"{""Point"": 561}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.062388591800356503}",,,
northern-ca,hifld-hospitals,ok,,41,0,0,0,"{""Point"": 41}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.024390243902439025}",,,
northern-ca,hifld-schools,ok,,974,0,0,0,"{""Point"": 974}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.49589322381930184}",,,
northern-ca,microsoft-buildings,ok,,1138335,0,4,0,"{""Polygon"": 1138334, ""MultiPolygon"": 1}","{""height"": 0.0, ""confidence"": 0.0}",,,
northern-ca,overture-buildings,ok,,1164724,0,0,0,"{""Polygon"": 1164619, ""MultiPolygon"": 105}","{""id"": 0.0, ""names"": 0.993109097090813, ""sources"": 0.0, ""level"": 0.9985567396224342, ""height"": 0.17516682063733555, ""min_height"": 1.0, ""is_underground"": 0.0, ""num_floors"": 0.9842503460047187, ""num_floors_underground"": 0.9999819699774367, ""min_floor"": 0.999999141427497, ""subtype"": 0.8834479241434022, ""class"": 0.8853239050624869, ""facade_color"": 0.9999828285499397, ""facade_material"": 0.9998188412018642, ""roof_material"": 0.9999982828549939, ""roof_shape"": 0.999869496979542, ""roof_direction"": 1.0, ""roof_orientation"": 0.9999982828549939, ""roof_color"": 0.9999716671074006, ""roof_height"": 1.0, ""has_parts"": 0.0, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
northern-ca,overture-pois,ok,,116897,0,0,0,"{""Point"": 116897}","{""id"": 0.0, ""categories"": 0.04101901674123373, ""confidence"": 0.0, ""websites"": 0.1683704457770516, ""emails"": 0.5964481552135641, ""socials"": 0.37078795863024716, ""phones"": 0.10578543504110456, ""brand"": 0.3905746084159559, ""addresses"": 0.0, ""names"": 0.0, ""sources"": 0.0, ""operating_status"": 0.2964490106675107, ""basic_category"": 0.031728786880758274, ""taxonomy"": 0.04101901674123373, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
northern-ca,overture-roads,ok,,191836,0,0,0,"{""LineString"": 191459, ""MultiLineString"": 377}","{""id"": 0.0, ""names"": 0.15320899101315708, ""subtype"": 0.0, ""class"": 0.0, ""subclass"": 0.9814841844075147, ""subclass_rules"": 0.9814841844075147, ""connectors"": 0.0, ""road_surface"": 0.7794105381680185, ""road_flags"": 0.9591004816614191, ""rail_flags"": 1.0, ""width_rules"": 0.9960643466294127, ""level_rules"": 0.9800819449946829, ""access_restrictions"": 0.8334045747409246, ""speed_limits"": 0.8711972726704059, ""prohibited_transitions"": 0.9851591984820367, ""routes"": 0.9426072270064013, ""destinations"": 0.9809420546716987, ""sources"": 0.0, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
eastern-ok,census-cbp,ok,,1192,0,0,0,"{""Polygon"": 1192}","{""GEOID"": 0.0, ""STATEFP"": 0.0, ""COUNTYFP"": 0.0, ""TRACTCE"": 0.0, ""cbp_estab"": 0.0, ""cbp_estab_res"": 0.0, ""cbp_estab_bus"": 0.0}",0,,
eastern-ok,census-tiger-roads,ok,,353691,0,0,0,"{""LineString"": 353685, ""MultiLineString"": 6}","{""LINEARID"": 0.0, ""FULLNAME"": 0.4736620383328951, ""RTTYP"": 0.4736648656595729, ""MTFCC"": 0.0}",,,
eastern-ok,hifld-ems-stations,ok,,125,0,0,0,"{""Point"": 125}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.072}",,,
eastern-ok,hifld-fire-stations,ok,,1139,0,0,0,"{""Point"": 1139}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.000877963125548727, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.03160667251975417}",,,
eastern-ok,hifld-hospitals,ok,,135,0,0,0,"{""Point"": 135}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.022222222222222223}",,,
eastern-ok,hifld-schools,ok,,1736,0,0,0,"{""Point"": 1736}","{""permanent_identifier"": 0.0, ""name"": 0.0, ""ftype"": 0.0, ""fcode"": 0.0, ""admintype"": 1.0, ""address"": 0.0, ""city"": 0.0, ""state"": 0.0, ""zipcode"": 0.0, ""gnis_id"": 0.04032258064516129}",,,
eastern-ok,microsoft-buildings,ok,,2404448,0,6,0,"{""Polygon"": 2404448}","{""height"": 0.0, ""confidence"": 0.0}",,,
eastern-ok,overture-buildings,ok,,2551694,0,0,0,"{""Polygon"": 2551581, ""MultiPolygon"": 113}","{""id"": 0.0, ""names"": 0.9925665067990127, ""sources"": 0.0, ""level"": 0.999325154191686, ""height"": 0.2974525942373968, ""min_height"": 1.0, ""is_underground"": 0.0, ""num_floors"": 0.996601081477638, ""num_floors_underground"": 0.9999968648278359, ""min_floor"": 0.9999945134487129, ""subtype"": 0.9424503878599864, ""class"": 0.9444235868407419, ""facade_color"": 0.9997166588156731, ""facade_material"": 0.9994168579774848, ""roof_material"": 0.9999008501803116, ""roof_shape"": 0.9980409092939827, ""roof_direction"": 1.0, ""roof_orientation"": 0.9999400398323623, ""roof_color"": 0.9996406308906945, ""roof_height"": 0.9999996081034795, ""has_parts"": 0.0, ""version"": 0.0, ""theme"": 0.0, ""type"": 0.0}",,,
