column_name,dtype,source_table,attribution_method,domain,position
GEOID,string,national-census-tract-table,shared-backbone,geography,0
STATEFP,string,national-census-tract-table,shared-backbone,geography,1
COUNTYFP,string,national-census-tract-table,shared-backbone,geography,2
state_usps,string,national-census-tract-table,shared-backbone,geography,3
state_name,string,national-census-tract-table,unambiguous,geography,4
ALAND,int64,national-census-tract-table,shared-backbone,geography,5
AWATER,int64,national-census-tract-table,shared-backbone,geography,6
INTPTLAT,string,national-census-tract-table,shared-backbone,geography,7
INTPTLON,string,national-census-tract-table,shared-backbone,geography,8
pop_total,int64,national-census-tract-table,unambiguous,population,9
pop_urban,int64,national-census-tract-table,unambiguous,population,10
pop_rural,int64,national-census-tract-table,unambiguous,population,11
pct_urban,double,national-census-tract-table,unambiguous,population,12
ur_class,string,national-census-tract-table,unambiguous,population,13
tract_vintage,int64,national-census-tract-table,shared-backbone,geography,14
svi_covered,bool,national-svi-tract-table,unambiguous,svi,15
svi_rank_universe,string,national-svi-tract-table,unambiguous,svi,16
svi_overall,double,national-svi-tract-table,unambiguous,svi,17
svi_socioeconomic,double,national-svi-tract-table,unambiguous,svi,18
svi_household,double,national-svi-tract-table,unambiguous,svi,19
svi_minority,double,national-svi-tract-table,unambiguous,svi,20
svi_housing_transport,double,national-svi-tract-table,unambiguous,svi,21
svi_pop,double,national-svi-tract-table,unambiguous,svi,22
svi_year,int64,national-svi-tract-table,unambiguous,svi,23
cvi_covered,bool,national-cvi-tract-table,unambiguous,cvi,24
cvi_xwalk_coverage,double,national-cvi-tract-table,unambiguous,cvi,25
cvi_overall,double,national-cvi-tract-table,unambiguous,cvi,26
cvi_baseline,double,national-cvi-tract-table,unambiguous,cvi,27
cvi_climate,double,national-cvi-tract-table,unambiguous,cvi,28
cvi_baseline_health,double,national-cvi-tract-table,unambiguous,cvi,29
cvi_baseline_socioeconomic,double,national-cvi-tract-table,unambiguous,cvi,30
cvi_baseline_infrastructure,double,national-cvi-tract-table,unambiguous,cvi,31
cvi_baseline_environment,double,national-cvi-tract-table,unambiguous,cvi,32
cvi_climate_health,double,national-cvi-tract-table,unambiguous,cvi,33
cvi_climate_socioeconomic,double,national-cvi-tract-table,unambiguous,cvi,34
cvi_climate_extreme_events,double,national-cvi-tract-table,unambiguous,cvi,35
cvi_source_vintage,int64,national-cvi-tract-table,unambiguous,cvi,36
ruca_covered,bool,national-ruca-tract-table,unambiguous,rurality,37
ruca_primary,double,national-ruca-tract-table,unambiguous,rurality,38
ruca_primary_desc,string,national-ruca-tract-table,unambiguous,rurality,39
ruca_secondary,double,national-ruca-tract-table,unambiguous,rurality,40
ruca_pop_density,double,national-ruca-tract-table,unambiguous,rurality,41
ruca_year,int64,national-ruca-tract-table,unambiguous,rurality,42
rucc_covered,bool,national-rucc-tract-table,unambiguous,rurality,43
rucc_2023,int64,national-rucc-tract-table,unambiguous,rurality,44
rucc_desc,string,national-rucc-tract-table,unambiguous,rurality,45
rucc_metro,bool,national-rucc-tract-table,unambiguous,rurality,46
rucc_year,int64,national-rucc-tract-table,unambiguous,rurality,47
nchs_covered,bool,national-nchs-tract-table,unambiguous,rurality,48
nchs_2013,double,national-nchs-tract-table,unambiguous,rurality,49
nchs_2013_label,string,national-nchs-tract-table,unambiguous,rurality,50
nchs_year,int64,national-nchs-tract-table,unambiguous,rurality,51
tribal_any,bool,national-tribal-tract-table,unambiguous,tribal,52
tribal_pct,double,national-tribal-tract-table,unambiguous,tribal,53
tribal_legal,bool,national-tribal-tract-table,unambiguous,tribal,54
tribal_legal_pct,double,national-tribal-tract-table,unambiguous,tribal,55
tribal_statistical,bool,national-tribal-tract-table,unambiguous,tribal,56
tribal_stat_pct,double,national-tribal-tract-table,unambiguous,tribal,57
aiannh_geoid,string,national-tribal-tract-table,unambiguous,tribal,58
aiannh_name,string,national-tribal-tract-table,unambiguous,tribal,59
aiannh_kind,string,national-tribal-tract-table,unambiguous,tribal,60
usdm_covered,bool,national-usdm-drought-tract-table,unambiguous,drought,61
usdm_summer_dsci,double,national-usdm-drought-tract-table,unambiguous,drought,62
usdm_summer_pct_d0plus,double,national-usdm-drought-tract-table,unambiguous,drought,63
usdm_summer_pct_d2plus,double,national-usdm-drought-tract-table,unambiguous,drought,64
usdm_winter_dsci,double,national-usdm-drought-tract-table,unambiguous,drought,65
usdm_winter_pct_d0plus,double,national-usdm-drought-tract-table,unambiguous,drought,66
usdm_winter_pct_d2plus,double,national-usdm-drought-tract-table,unambiguous,drought,67
usdm_year_min,int64,national-usdm-drought-tract-table,unambiguous,drought,68
usdm_year_max,int64,national-usdm-drought-tract-table,unambiguous,drought,69
usfs_covered,bool,national-usfs-wildfire-tract-table,unambiguous,wildfire,70
usfs_BP_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,71
usfs_CFL_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,72
usfs_CRPS_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,73
usfs_RPS_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,74
usfs_WHP_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,75
usfs_Exposure_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,76
usfs_FLEP4_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,77
usfs_FLEP8_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,78
usfs_CWiRRZ_majority_label,string,national-usfs-wildfire-tract-table,unambiguous,wildfire,79
usfs_CWiRRZ_majority_zone4_label,string,national-usfs-wildfire-tract-table,unambiguous,wildfire,80
usfs_BuildingCount_sum,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,81
usfs_BuildingCover_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,82
usfs_BuildingDensity_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,83
usfs_HUCount_sum,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,84
usfs_HUDen_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,85
usfs_HUExposure_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,86
usfs_HUImpact_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,87
usfs_HURisk_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,88
usfs_PopCount_sum,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,89
usfs_PopDen_mean,double,national-usfs-wildfire-tract-table,unambiguous,wildfire,90
usfs_edition,string,national-usfs-wildfire-tract-table,unambiguous,wildfire,91
usfs_extent,string,national-usfs-wildfire-tract-table,unambiguous,wildfire,92
epht_covered,bool,national-epht-heat-tract-table,unambiguous,heat,93
epht_heat_days_summer,double,national-epht-heat-tract-table,unambiguous,heat,94
epht_heat_days_annual,double,national-epht-heat-tract-table,unambiguous,heat,95
epht_heat_events_summer,double,national-epht-heat-tract-table,unambiguous,heat,96
epht_threshold,string,national-epht-heat-tract-table,unambiguous,heat,97
epht_metric,string,national-epht-heat-tract-table,unambiguous,heat,98
epht_year_min,int64,national-epht-heat-tract-table,unambiguous,heat,99
epht_year_max,int64,national-epht-heat-tract-table,unambiguous,heat,100
carbonplan_covered,bool,national-carbonplan-tract-table,unambiguous,wildfire,101
carbonplan_buildings,double,national-carbonplan-tract-table,unambiguous,wildfire,102
carbonplan_bp_2011_mean,double,national-carbonplan-tract-table,unambiguous,wildfire,103
carbonplan_bp_2011_median,double,national-carbonplan-tract-table,unambiguous,wildfire,104
carbonplan_bp_2047_mean,double,national-carbonplan-tract-table,unambiguous,wildfire,105
carbonplan_crps_mean,double,national-carbonplan-tract-table,unambiguous,wildfire,106
carbonplan_rps_2011_mean,double,national-carbonplan-tract-table,unambiguous,wildfire,107
carbonplan_rps_2011_median,double,national-carbonplan-tract-table,unambiguous,wildfire,108
