scope,flag_column,n_member_columns,n_covered_true,n_covered_false,n_covered_true_but_all_members_null,n_covered_false_but_some_member_non_null
national,carbonplan_covered,9,83542,1854,0,1854
national,cdcw_covered,18,83777,1619,0,1619
national,cvi_covered,12,84095,1301,0,1301
national,pmdi_covered,6,83569,1827,0,0
national,spi_covered,9,83240,2156,0,0
national,epht_covered,7,83471,1925,0,1925
national,fod_covered,15,85034,362,0,362
national,mtbs_covered,10,85034,362,0,362
national,gehe_covered,12,85382,14,0,14
national,uhe_covered,6,44665,40731,0,0
national,nchs_covered,3,84415,981,0,981
national,nifc_covered,11,85034,362,0,362
national,ghcn_covered,10,85396,0,0,0
national,ruca_covered,5,85391,5,0,5
national,rucc_covered,4,85396,0,0,0
national,svi_covered,8,85059,337,0,337
national,usdm_covered,8,85034,362,0,362
national,usfs_covered,22,83777,1619,0,1619
national,usgs_covered,12,85392,4,0,4
maricopa-az,carbonplan_covered,9,1593,0,0,0
maricopa-az,cdcw_covered,18,1593,0,0,0
maricopa-az,cvi_covered,12,1593,0,0,0
maricopa-az,pmdi_covered,6,1593,0,0,0
maricopa-az,spi_covered,9,1593,0,0,0
maricopa-az,epht_covered,7,1593,0,0,0
maricopa-az,fod_covered,15,1593,0,0,0
maricopa-az,mtbs_covered,10,1593,0,0,0
maricopa-az,gehe_covered,12,1593,0,0,0
maricopa-az,uhe_covered,6,1103,490,0,0
maricopa-az,nchs_covered,3,1593,0,0,0
maricopa-az,nifc_covered,11,1593,0,0,0
maricopa-az,ghcn_covered,10,1593,0,0,0
maricopa-az,ruca_covered,5,1593,0,0,0
maricopa-az,rucc_covered,4,1593,0,0,0
maricopa-az,svi_covered,8,1593,0,0,0
maricopa-az,usdm_covered,8,1593,0,0,0
maricopa-az,usfs_covered,22,1593,0,0,0
maricopa-az,usgs_covered,12,1593,0,0,0
northern-ca,carbonplan_covered,9,591,0,0,0
northern-ca,cdcw_covered,18,591,0,0,0
northern-ca,cvi_covered,12,591,0,0,0
northern-ca,pmdi_covered,6,591,0,0,0
northern-ca,spi_covered,9,591,0,0,0
northern-ca,epht_covered,7,591,0,0,0
northern-ca,fod_covered,15,591,0,0,0
northern-ca,mtbs_covered,10,591,0,0,0
northern-ca,gehe_covered,12,591,0,0,0
northern-ca,uhe_covered,6,304,287,0,0
northern-ca,nchs_covered,3,591,0,0,0
northern-ca,nifc_covered,11,591,0,0,0
northern-ca,ghcn_covered,10,591,0,0,0
northern-ca,ruca_covered,5,591,0,0,0
northern-ca,rucc_covered,4,591,0,0,0
northern-ca,svi_covered,8,591,0,0,0
northern-ca,usdm_covered,8,591,0,0,0
northern-ca,usfs_covered,22,591,0,0,0
northern-ca,usgs_covered,12,591,0,0,0
eastern-ok,carbonplan_covered,9,1192,0,0,0
eastern-ok,cdcw_covered,18,1192,0,0,0
eastern-ok,cvi_covered,12,1192,0,0,0
eastern-ok,pmdi_covered,6,1192,0,0,0
eastern-ok,spi_covered,9,1192,0,0,0
eastern-ok,epht_covered,7,1192,0,0,0
eastern-ok,fod_covered,15,1192,0,0,0
eastern-ok,mtbs_covered,10,1192,0,0,0
eastern-ok,gehe_covered,12,1192,0,0,0
eastern-ok,uhe_covered,6,501,691,0,0
eastern-ok,nchs_covered,3,1192,0,0,0
eastern-ok,nifc_covered,11,1192,0,0,0
eastern-ok,ghcn_covered,10,1192,0,0,0
eastern-ok,ruca_covered,5,1192,0,0,0
eastern-ok,rucc_covered,4,1192,0,0,0
eastern-ok,svi_covered,8,1192,0,0,0
eastern-ok,usdm_covered,8,1192,0,0,0
eastern-ok,usfs_covered,22,1192,0,0,0
eastern-ok,usgs_covered,12,1192,0,0,0
south-central-tx,carbonplan_covered,9,6001,2,0,2
south-central-tx,cdcw_covered,18,6003,0,0,0
south-central-tx,cvi_covered,12,6001,2,0,2
south-central-tx,pmdi_covered,6,6003,0,0,0
south-central-tx,spi_covered,9,6001,2,0,0
south-central-tx,epht_covered,7,6001,2,0,2
south-central-tx,fod_covered,15,6001,2,0,2
south-central-tx,mtbs_covered,10,6001,2,0,2
south-central-tx,gehe_covered,12,6003,0,0,0
south-central-tx,uhe_covered,6,3872,2131,0,0
south-central-tx,nchs_covered,3,6003,0,0,0
south-central-tx,nifc_covered,11,6001,2,0,2
south-central-tx,ghcn_covered,10,6003,0,0,0
south-central-tx,ruca_covered,5,6003,0,0,0
south-central-tx,rucc_covered,4,6003,0,0,0
south-central-tx,svi_covered,8,6001,2,0,2
south-central-tx,usdm_covered,8,6001,2,0,2
south-central-tx,usfs_covered,22,6003,0,0,0
south-central-tx,usgs_covered,12,6003,0,0,0
