source_table,column_name,dtype,n_rows,n_null,pct_null,n_distinct,values
national-carbonplan-tract-table,carbonplan_version,object,85396,0,0.0,1,'v1.1.0' (85396)
national-fpa-fod-tract-table,fod_edition,object,85396,0,0.0,1,'RDS-2013-0009.6' (85396)
national-fpa-fod-tract-table,fod_year_min,int64,85396,0,0.0,1,1992 (85396)
national-fpa-fod-tract-table,fod_year_max,int64,85396,0,0.0,1,2020 (85396)
national-mtbs-tract-table,mtbs_year_min,int64,85396,0,0.0,1,1984 (85396)
national-mtbs-tract-table,mtbs_year_max,int64,85396,0,0.0,1,2023 (85396)
national-mtbs-tract-table,mtbs_size_threshold,object,85396,0,0.0,1,"'about 1000 acres in the West, 500 in the East' (85396)"
national-nifc-tract-table,nifc_year_min,int64,85396,0,0.0,1,1984 (85396)
national-nifc-tract-table,nifc_year_max,int64,85396,0,0.0,1,2025 (85396)
national-usfs-wildfire-tract-table,usfs_edition,object,85396,0,0.0,1,'WRC v2 (RDS-2020-0016-2 / RDS-2020-0060-2 / RDS-2024-0030)' (85396)
national-usfs-wildfire-tract-table,usfs_extent,object,85396,0,0.0,1,'CONUS' (85396)
national-usgs-combined-tract-table,usgs_record_start,int64,85396,0,0.0,1,1835 (85396)
national-usgs-combined-tract-table,usgs_record_end,int64,85396,0,0.0,1,2020 (85396)
national-cdc-wonder-tract-table,cdcw_grain,object,85396,0,0.0,1,'county' (85396)
national-cdc-wonder-tract-table,cdcw_window_start,int64,85396,0,0.0,1,1981 (85396)
national-cdc-wonder-tract-table,cdcw_window_end,int64,85396,0,0.0,1,2010 (85396)
national-epht-heat-tract-table,epht_threshold,object,85396,0,0.0,1,'95th percentile' (85396)
national-epht-heat-tract-table,epht_year_min,int64,85396,0,0.0,1,2015 (85396)
national-epht-heat-tract-table,epht_year_max,int64,85396,0,0.0,1,2023 (85396)
national-nasa-heat-tract-table,gehe_record_start,int64,85396,0,0.0,1,1983 (85396)
national-nasa-heat-tract-table,gehe_record_end,int64,85396,0,0.0,1,2016 (85396)
national-nasa-heat-tract-table,uhe_city_country,object,85396,40731,0.4769661342451637,4,'United States' (44028); 'Puerto Rico' (409); 'Mexico' (205); 'Canada' (23)
national-nasa-heat-tract-table,uhe_city_name,object,85396,40731,0.4769661342451637,331,'New York' (4313); 'Los Angeles' (3395); 'Chicago' (1794); 'Miami' (1415); 'Dallas' (1329); 'Houston' (1281); 'San Jose' (1186); 'Detroit' (1075); 'Washington D.C.' (967); 'Philadelphia' (937); 'Phoenix' (904); 'Seattle' (700); 'Tijuana' (690); 'Boston' (607); 'Denver' (607); ... +316 more distinct value(s)
national-noaa-ghcn-tract-table,ghcn_year_min,int64,85396,0,0.0,1,2015 (85396)
national-noaa-ghcn-tract-table,ghcn_year_max,int64,85396,0,0.0,1,2023 (85396)
national-drought-gov-tract-table,spi_calibration,float64,85396,85396,1.0,0,(all null)
national-drought-gov-tract-table,drought_gov_window_start,int64,85396,0,0.0,1,2015 (85396)
national-drought-gov-tract-table,drought_gov_window_end,int64,85396,0,0.0,1,2023 (85396)
national-usdm-drought-tract-table,usdm_year_min,int64,85396,0,0.0,1,2015 (85396)
national-usdm-drought-tract-table,usdm_year_max,int64,85396,0,0.0,1,2023 (85396)
national-nchs-tract-table,nchs_year,int64,85396,0,0.0,1,2013 (85396)
national-ruca-tract-table,ruca_year,int64,85396,0,0.0,1,2020 (85396)
national-rucc-tract-table,rucc_year,int64,85396,0,0.0,1,2023 (85396)
national-cvi-tract-table,cvi_source_vintage,int64,85396,0,0.0,1,2010 (85396)
national-svi-tract-table,svi_year,int64,85396,0,0.0,1,2022 (85396)
national-census-tract-table,tract_vintage,int64,85396,0,0.0,1,2020 (85396)
