region,column_name,in_national,in_region,national_dtype,region_dtype,dtype_match,national_position,region_position
maricopa-az,GEOID,True,True,string,string,True,0,0
maricopa-az,STATEFP,True,True,string,string,True,1,1
maricopa-az,COUNTYFP,True,True,string,string,True,2,2
maricopa-az,state_usps,True,False,string,,,3,
maricopa-az,state_name,True,False,string,,,4,
maricopa-az,ALAND,True,True,int64,int64,True,5,3
maricopa-az,AWATER,True,False,int64,,,6,
maricopa-az,INTPTLAT,True,False,string,,,7,
maricopa-az,INTPTLON,True,False,string,,,8,
maricopa-az,pop_total,True,True,int64,int64,True,9,4
maricopa-az,pop_urban,True,True,int64,int64,True,10,5
maricopa-az,pop_rural,True,True,int64,int64,True,11,6
maricopa-az,pct_urban,True,True,double,double,True,12,7
maricopa-az,ur_class,True,True,string,string,True,13,8
maricopa-az,tract_vintage,True,False,int64,,,14,
maricopa-az,svi_covered,True,True,bool,bool,True,15,10
maricopa-az,svi_rank_universe,True,True,string,string,True,16,11
maricopa-az,svi_overall,True,True,double,double,True,17,12
maricopa-az,svi_socioeconomic,True,True,double,double,True,18,13
maricopa-az,svi_household,True,True,double,double,True,19,14
maricopa-az,svi_minority,True,True,double,double,True,20,15
maricopa-az,svi_housing_transport,True,True,double,double,True,21,16
maricopa-az,svi_pop,True,True,double,double,True,22,17
maricopa-az,svi_year,True,True,int64,int64,True,23,18
maricopa-az,cvi_covered,True,True,bool,bool,True,24,19
maricopa-az,cvi_xwalk_coverage,True,True,double,double,True,25,20
maricopa-az,cvi_overall,True,True,double,double,True,26,21
maricopa-az,cvi_baseline,True,True,double,double,True,27,22
maricopa-az,cvi_climate,True,True,double,double,True,28,23
maricopa-az,cvi_baseline_health,True,True,double,double,True,29,24
maricopa-az,cvi_baseline_socioeconomic,True,True,double,double,True,30,25
maricopa-az,cvi_baseline_infrastructure,True,True,double,double,True,31,26
maricopa-az,cvi_baseline_environment,True,True,double,double,True,32,27
maricopa-az,cvi_climate_health,True,True,double,double,True,33,28
maricopa-az,cvi_climate_socioeconomic,True,True,double,double,True,34,29
maricopa-az,cvi_climate_extreme_events,True,True,double,double,True,35,30
maricopa-az,cvi_source_vintage,True,True,int64,int64,True,36,31
maricopa-az,ruca_covered,True,True,bool,bool,True,37,32
maricopa-az,ruca_primary,True,True,double,double,True,38,33
maricopa-az,ruca_primary_desc,True,True,string,string,True,39,34
maricopa-az,ruca_secondary,True,True,double,double,True,40,35
maricopa-az,ruca_pop_density,True,True,double,double,True,41,36
maricopa-az,ruca_year,True,True,int64,int64,True,42,37
maricopa-az,rucc_covered,True,True,bool,bool,True,43,38
maricopa-az,rucc_2023,True,True,int64,int64,True,44,39
maricopa-az,rucc_desc,True,True,string,string,True,45,40
maricopa-az,rucc_metro,True,True,bool,bool,True,46,41
maricopa-az,rucc_year,True,True,int64,int64,True,47,42
maricopa-az,nchs_covered,True,True,bool,bool,True,48,43
maricopa-az,nchs_2013,True,True,double,double,True,49,44
maricopa-az,nchs_2013_label,True,True,string,string,True,50,45
maricopa-az,nchs_year,True,True,int64,int64,True,51,46
maricopa-az,tribal_any,True,True,bool,bool,True,52,47
maricopa-az,tribal_pct,True,True,double,double,True,53,48
maricopa-az,tribal_legal,True,True,bool,bool,True,54,49
maricopa-az,tribal_legal_pct,True,True,double,double,True,55,50
maricopa-az,tribal_statistical,True,True,bool,bool,True,56,51
maricopa-az,tribal_stat_pct,True,True,double,double,True,57,52
maricopa-az,aiannh_geoid,True,True,string,string,True,58,53
maricopa-az,aiannh_name,True,True,string,string,True,59,54
maricopa-az,aiannh_kind,True,True,string,string,True,60,55
maricopa-az,usdm_covered,True,True,bool,bool,True,61,56
maricopa-az,usdm_summer_dsci,True,True,double,double,True,62,57
maricopa-az,usdm_summer_pct_d0plus,True,True,double,double,True,63,58
maricopa-az,usdm_summer_pct_d2plus,True,True,double,double,True,64,59
maricopa-az,usdm_winter_dsci,True,True,double,double,True,65,60
maricopa-az,usdm_winter_pct_d0plus,True,True,double,double,True,66,61
maricopa-az,usdm_winter_pct_d2plus,True,True,double,double,True,67,62
maricopa-az,usdm_year_min,True,True,int64,int64,True,68,63
maricopa-az,usdm_year_max,True,True,int64,int64,True,69,64
maricopa-az,usfs_covered,True,True,bool,bool,True,70,65
maricopa-az,usfs_BP_mean,True,True,double,double,True,71,66
maricopa-az,usfs_CFL_mean,True,True,double,double,True,72,67
maricopa-az,usfs_CRPS_mean,True,True,double,double,True,73,68
maricopa-az,usfs_RPS_mean,True,True,double,double,True,74,69
maricopa-az,usfs_WHP_mean,True,True,double,double,True,75,70
maricopa-az,usfs_Exposure_mean,True,True,double,double,True,76,71
maricopa-az,usfs_FLEP4_mean,True,True,double,double,True,77,72
maricopa-az,usfs_FLEP8_mean,True,True,double,double,True,78,73
maricopa-az,usfs_CWiRRZ_majority_label,True,True,string,string,True,79,74
maricopa-az,usfs_CWiRRZ_majority_zone4_label,True,True,string,string,True,80,75
maricopa-az,usfs_BuildingCount_sum,True,True,double,double,True,81,76
maricopa-az,usfs_BuildingCover_mean,True,True,double,double,True,82,77
maricopa-az,usfs_BuildingDensity_mean,True,True,double,double,True,83,78
maricopa-az,usfs_HUCount_sum,True,True,double,double,True,84,79
maricopa-az,usfs_HUDen_mean,True,True,double,double,True,85,80
maricopa-az,usfs_HUExposure_mean,True,True,double,double,True,86,81
maricopa-az,usfs_HUImpact_mean,True,True,double,double,True,87,82
maricopa-az,usfs_HURisk_mean,True,True,double,double,True,88,83
maricopa-az,usfs_PopCount_sum,True,True,double,double,True,89,84
maricopa-az,usfs_PopDen_mean,True,True,double,double,True,90,85
maricopa-az,usfs_edition,True,True,string,string,True,91,86
maricopa-az,usfs_extent,True,True,string,string,True,92,87
maricopa-az,epht_covered,True,True,bool,bool,True,93,88
